,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
249,ESPORTSTMNT02_2830769,2022-06-19 06:55:20,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,T1,Zeus,Oner,Faker,Gumayusi,Keria,Blue
250,ESPORTSTMNT02_2830808,2022-06-19 08:47:21,T1,Zeus,Oner,Faker,Gumayusi,Keria,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Blue
251,ESPORTSTMNT02_2840731,2022-06-19 10:12:05,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
252,ESPORTSTMNT02_2840747,2022-06-19 12:18:26,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Blue
253,ESPORTSTMNT02_2830829,2022-06-19 12:52:05,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
254,ESPORTSTMNT03_2793981,2022-06-22 06:21:27,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Blue
255,ESPORTSTMNT03_2794047,2022-06-22 08:39:02,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Blue
256,ESPORTSTMNT03_2794070,2022-06-22 09:41:53,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Blue
257,ESPORTSTMNT03_2794082,2022-06-22 10:36:22,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Red
258,ESPORTSTMNT03_2794153,2022-06-22 12:18:42,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Red
259,ESPORTSTMNT03_2794767,2022-06-23 06:41:35,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Red
260,ESPORTSTMNT03_2794828,2022-06-23 09:03:54,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Red
261,ESPORTSTMNT03_2794885,2022-06-23 11:10:14,T1,Zeus,Oner,Faker,Gumayusi,Keria,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Blue
262,ESPORTSTMNT03_2794935,2022-06-23 12:19:30,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
