,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
355,ESPORTSTMNT05_2990388,2022-07-21 10:37:45,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Red
356,ESPORTSTMNT05_2990418,2022-07-21 12:13:46,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Red
357,ESPORTSTMNT05_2980509,2022-07-22 06:38:34,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
358,ESPORTSTMNT05_2980526,2022-07-22 08:48:59,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
359,ESPORTSTMNT05_2980527,2022-07-22 09:41:01,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Blue
360,ESPORTSTMNT05_2980537,2022-07-22 11:35:08,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
361,ESPORTSTMNT05_2980538,2022-07-22 12:24:26,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Blue
362,ESPORTSTMNT05_2980556,2022-07-23 06:15:48,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,T1,Zeus,Oner,Faker,Gumayusi,Keria,Blue
363,ESPORTSTMNT05_2980569,2022-07-23 08:41:03,T1,Zeus,Oner,Faker,Gumayusi,Keria,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Blue
364,ESPORTSTMNT05_2980571,2022-07-23 09:44:41,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
